atp,Location,tournament,date,series,court,surface,round,best_of,winner,loser,wrank,lrank,wpts,lpts,w1,L1,w2,L2,w3,L3,w4,L4,w5,L5,wsets,lsets,comment,B365W,B365L
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Kotov P.,Rinderknech A.,65,94,835,629,7,5,6,1,6,7,6,7,6,3,3,2,Completed,1.62,2.3
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Cerundolo F.,Sweeny D.,21,257,1760,228,3,6,6,3,6,4,2,6,6,2,3,2,Completed,1.36,3.2
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Rublev A.,Seyboth Wild T.,5,77,5010,718,7,5,6,4,3,6,4,6,7,6,3,2,Completed,1.03,17.0
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,O Connell C.,Garin C.,68,86,814,680,3,6,7,5,4,6,6,1,7,5,3,2,Completed,1.44,2.75
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Fritz T.,Diaz Acosta F.,12,90,2840,661,4,6,6,3,3,6,6,2,6,4,3,2,Completed,1.03,15.0
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Galan D.E.,Kubler J.,87,113,676,561,2,6,6,3,7,6,4,6,7,6,3,2,Completed,2.5,1.53
5,Melbourne,Australian Open,2024-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Korda S.,Kopriva V.,26,132,1480,498,6,1,6,4,2,6,4,6,6,2,3,2,Completed,1.08,8.0
5,Melbourne,Australian Open,2024-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Cobolli F.,Jarry N.,100,18,617,1870,6,4,3,6,6,3,2,6,7,5,3,2,Completed,4.5,1.2
5,Melbourne,Australian Open,2024-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,Wawrinka S.,19,56,1765,907,6,4,3,6,5,7,6,3,6,0,3,2,Completed,1.4,3.0
5,Melbourne,Australian Open,2024-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Van Assche L.,Duckworth J.,79,95,715,628,6,7,6,3,3,6,6,3,6,3,3,2,Completed,1.73,2.1
5,Melbourne,Australian Open,2024-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Thompson J.,Vukic A.,47,64,982,835,3,6,7,6,6,2,3,6,6,4,3,2,Completed,1.4,3.0
5,Melbourne,Australian Open,2024-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Kovacevic A.,Tabilo A.,101,49,611,970,6,7,7,6,1,6,6,1,6,3,3,2,Completed,2.2,1.67
5,Melbourne,Australian Open,2024-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Grenier H.,Muller A.,178,73,340,774,2,6,7,6,4,6,6,4,7,6,3,2,Completed,3.2,1.36
5,Melbourne,Australian Open,2024-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Auger-Aliassime F.,Thiem D.,30,92,1425,654,6,3,7,5,6,7,5,7,6,3,3,2,Completed,1.44,2.75
5,Melbourne,Australian Open,2024-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Struff J.L.,Hijikata R.,25,71,1511,782,3,6,6,3,6,2,6,7,7,6,3,2,Completed,1.62,2.3
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Cazaux A.,Djere L.,122,33,529,1250,6,2,6,7,6,2,3,6,6,2,3,2,Completed,2.1,1.73
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Griekspoor T.,Safiullin R.,31,36,1410,1190,2,6,3,6,7,6,6,4,7,5,3,2,Completed,2.63,1.5
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Draper J.,Giron M.,55,66,911,825,6,4,3,6,4,6,6,0,6,2,3,2,Completed,1.25,4.0
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Shang J.,Mcdonald M.,140,42,435,1055,6,3,1,6,3,6,6,4,6,2,3,2,Completed,1.67,2.2
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Kokkinakis T.,Ofner S.,80,37,711,1141,7,6,2,6,6,7,6,1,7,6,3,2,Completed,2.0,1.8
5,Melbourne,Australian Open,2024-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Van Assche L.,Musetti L.,79,28,715,1440,6,3,3,6,6,7,6,3,6,0,3,2,Completed,2.75,1.44
5,Melbourne,Australian Open,2024-01-17,Grand Slam,Outdoor,Hard,2nd Round,5,Mannarino A.,Munar J.,19,82,1765,706,6,3,6,3,1,6,2,6,6,3,3,2,Completed,1.33,3.4
5,Melbourne,Australian Open,2024-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Norrie C.,Zeppieri G.,22,133,1710,487,3,6,6,7,6,2,6,4,6,4,3,2,Completed,1.3,3.5
5,Melbourne,Australian Open,2024-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Zverev A.,Klein L.,6,163,4275,391,7,5,3,6,4,6,7,6,7,6,3,2,Completed,1.06,10.0
5,Melbourne,Australian Open,2024-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Ruud C.,Purcell M.,11,45,2910,1021,6,3,6,7,6,3,3,6,7,6,3,2,Completed,1.17,5.0
5,Melbourne,Australian Open,2024-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Kecmanovic M.,Struff J.L.,60,25,890,1511,6,4,1,6,7,6,1,6,7,6,3,2,Completed,1.5,2.63
5,Melbourne,Australian Open,2024-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Hurkacz H.,Mensik J.,9,142,3320,433,6,7,6,1,5,7,6,1,6,3,3,2,Completed,1.25,4.0
5,Melbourne,Australian Open,2024-01-18,Grand Slam,Outdoor,Hard,2nd Round,5,Medvedev D.,Ruusuvuori E.,3,53,7555,921,3,6,6,7,6,4,7,6,6,0,3,2,Completed,1.1,7.0
5,Melbourne,Australian Open,2024-01-19,Grand Slam,Outdoor,Hard,3rd Round,5,Mannarino A.,Shelton B.,19,16,1765,2225,7,6,1,6,6,7,6,3,6,4,3,2,Completed,3.2,1.36
5,Melbourne,Australian Open,2024-01-20,Grand Slam,Outdoor,Hard,3rd Round,5,Kecmanovic M.,Paul T.,60,14,890,2670,6,4,3,6,2,6,7,6,6,0,3,2,Completed,3.2,1.36
5,Melbourne,Australian Open,2024-01-21,Grand Slam,Outdoor,Hard,4th Round,5,Rublev A.,De Minaur A.,5,10,5010,2950,6,4,6,7,6,7,6,3,6,0,3,2,Completed,1.73,2.1
5,Melbourne,Australian Open,2024-01-22,Grand Slam,Outdoor,Hard,4th Round,5,Zverev A.,Norrie C.,6,22,4275,1710,7,5,3,6,6,3,4,6,7,6,3,2,Completed,1.25,4.0
5,Melbourne,Australian Open,2024-01-24,Grand Slam,Outdoor,Hard,Quarterfinals,5,Medvedev D.,Hurkacz H.,3,9,7555,3320,7,6,2,6,6,3,5,7,6,4,3,2,Completed,1.4,3.0
5,Melbourne,Australian Open,2024-01-26,Grand Slam,Outdoor,Hard,Semifinals,5,Medvedev D.,Zverev A.,3,6,7555,4275,5,7,3,6,7,6,7,6,6,3,3,2,Completed,1.73,2.1
5,Melbourne,Australian Open,2024-01-28,Grand Slam,Outdoor,Hard,The Final,5,Sinner J.,Medvedev D.,4,3,6490,7555,3,6,3,6,6,4,6,4,6,3,3,2,Completed,1.36,3.25
